"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"42","قرمبالية",24,2408,"Nidaa Tounes","Liste partisane",8,"6.88%",1986,"Ennahdha","Liste partisane",6,"13.97%",1431,"Grombalia Alghad","Liste indépendante",4,"18.38%",1088,"Union Civile","Liste de coalition",3,"4.34%",536,"Front Populaire","Liste de coalition",2,"25.50%",338,"Itihad Shabab Grombalia","Liste indépendante",1,"30.92%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","دوز",24,2067,"Ennahdha","Liste partisane",7,"19.91%",1980,"Mouvement Du Peuple","Liste partisane",7,"14.30%",1445,"AL IRADA","Liste partisane",5,"28.47%",1038,"Courant Démocrate","Liste partisane",3,"27.28%",729,"Nidaa Tounes","Liste partisane",2,"10.04%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","القلعة",12,1706,"Ennahdha","Liste partisane",7,"9.71%",842,"AL IRADA","Liste partisane",4,"29.84%",274,"Alnour","Liste indépendante",1,"60.45%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ڨبلي",24,2581,"Ennahdha","Liste partisane",9,"8.05%",1034,"Nidaa Tounes","Liste partisane",4,"4.50%",862,"Mouvement Du Peuple","Liste partisane",3,"4.62%",805,"Courant Démocrate","Liste partisane",3,"4.84%",545,"Union Civile","Liste de coalition",2,"11.89%",328,"AL IRADA","Liste partisane",1,"38.11%",313,"Althibat","Liste indépendante",1,"12.73%",305,"Al'Iislah W Altanmya","Liste indépendante",1,"15.27%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","عقارب",24,2753,"Nidaa Tounes","Liste partisane",9,"23.62%",1943,"Ennahdha","Liste partisane",7,"28.10%",1633,"Altaqadum","Liste indépendante",6,"39.82%",585,"Machrouana","Liste indépendante",2,"8.46%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","‫المحرس‬",24,1904,"Muhris Alghad","Liste indépendante",9,"12.22%",1188,"Nidaa Tounes","Liste partisane",6,"13.32%",663,"Muatinun","Liste indépendante",3,"38.26%",614,"Ennahdha","Liste partisane",3,"12.34%",608,"Alyd Fi Alyd","Liste indépendante",3,"23.87%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","الصخيرة",24,2020,"Al'Amana","Liste indépendante",6,"3.12%",1868,"Nidaa Tounes","Liste partisane",5,"22.99%",1106,"Qayimat Maeaan Nartaqi","Liste indépendante",3,"7.03%",962,"Ennahdha","Liste partisane",3,"2.83%",850,"Alyasamyn","Liste indépendante",2,"9.56%",840,"Alskhyrt Tajamaeuna","Liste indépendante",2,"9.67%",618,"Aleadala","Liste indépendante",2,"12.59%",274,"Front Populaire","Liste de coalition",1,"10.95%",249,"Alskhyrt Almustaqbal","Liste indépendante",0,"21.26%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","بير علي بن خليفة",24,1865,"Ennahdha","Liste partisane",10,"10.46%",1005,"Al'Amal","Liste indépendante",5,"21.95%",712,"Nidaa Tounes","Liste partisane",4,"11.31%",518,"Bayir Ealia Bin Khalifa","Liste indépendante",3,"40.73%",479,"Front Populaire","Liste de coalition",2,"15.55%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","الناظور سيدي علي بالعابد",24,1622,"Nidaa Tounes","Liste partisane",5,"9.94%",1285,"Ennahdha","Liste partisane",4,"10.60%",1084,"Zitouna","Liste indépendante",4,"13.59%",1033,"Alkhyr","Liste indépendante",3,"1.78%",806,"Al'Iitihad Min Ajl Nadhour","Liste indépendante",3,"3.60%",756,"Al'Aman","Liste indépendante",2,"8.00%",608,"Qayimat Almahaba","Liste indépendante",2,"14.26%",274,"Nadhour Asala W Karama","Liste indépendante",1,"16.90%",135,"Harakat Alshabab","Liste indépendante",0,"21.33%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","منزل شاكر",18,834,"Ennahdha","Liste partisane",6,"12.23%",766,"Zitouna","Liste indépendante",6,"30.92%",574,"Nidaa Tounes","Liste partisane",4,"33.67%",303,"Altaqadum W Altanmiya","Liste indépendante",2,"23.17%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","‫األعشاش‬",18,1738,"Alwifaq","Liste indépendante",9,"6.83%",722,"Ennahdha","Liste partisane",4,"52.05%",651,"Nidaa Tounes","Liste partisane",4,"21.62%",228,"Altjdyd","Liste indépendante",1,"19.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","‫الحنشة‬",24,1449,"Ennahdha","Liste partisane",8,"22.87%",1040,"Alhunshat Liljamye","Liste indépendante",5,"6.69%",774,"Nidaa Tounes","Liste partisane",4,"31.87%",563,"Parti Destourien Libre Pdl","Liste partisane",3,"9.17%",417,"Machrouu Tounes","Liste partisane",2,"17.02%",304,"Alshabab Al'Ahrar","Liste indépendante",2,"12.38%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","‫النصر‬",18,938,"Ennahdha","Liste partisane",7,"20.34%",731,"Nidaa Tounes","Liste partisane",5,"14.00%",517,"Alnasr Almustaqila","Liste indépendante",4,"36.90%",356,"Warud Alrbye Ettounsi","Liste indépendante",2,"28.76%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","‫جبنيانة‬",24,1640,"Ennahdha","Liste partisane",9,"33.41%",1398,"Front Populaire","Liste de coalition",8,"39.19%",1147,"Nidaa Tounes","Liste partisane",7,"27.41%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","حزق اللوزة",18,1620,"Ennahdha","Liste partisane",10,"14.34%",841,"Nidaa Tounes","Liste partisane",5,"56.39%",412,"Front Populaire","Liste de coalition",3,"29.27%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","‫الزریبة‬",18,1707,"Nidaa Tounes","Liste partisane",6,"6.50%",1274,"Ennahdha","Liste partisane",4,"5.24%",978,"Alzryba Lilnaas Elkol","Liste indépendante",3,"10.44%",564,"Alsumud","Liste indépendante",2,"18.11%",351,"Al'Amal","Liste indépendante",1,"4.50%",283,"Alma' W Alhayet","Liste indépendante",1,"23.59%",243,"Courant Démocrate","Liste partisane",1,"31.61%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","زغوان",24,1235,"Afak Zaghouan","Liste indépendante",4,"4.15%",1230,"Nidaa Tounes","Liste partisane",4,"1.07%",1068,"Ennahdha","Liste partisane",3,"3.32%",575,"Al'Amal","Liste indépendante",2,"17.09%",548,"Zaghouan Al Iislah Houna Walaan","Liste indépendante",2,"7.96%",513,"Altumuh","Liste indépendante",2,"7.10%",504,"Kolouna Zaghouan","Liste indépendante",2,"6.98%",494,"Linabni Hyat Afdal","Liste indépendante",2,"6.84%",441,"Qayimat Almasyr","Liste indépendante",1,"6.10%",300,"Front Populaire","Liste de coalition",1,"7.58%",240,"Zaghouan Madinati","Liste indépendante",1,"14.78%",77,"Union Civile","Liste de coalition",0,"17.02%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","بئر مشارقة",18,631,"Ennahdha","Liste partisane",4,"16.21%",442,"Alsanbula","Liste indépendante",3,"13.53%",438,"Mustaqbalina Biaydyna","Liste indépendante",3,"9.24%",369,"Bir Mchergua Tajamaena","Liste indépendante",2,"16.06%",303,"Nidaa Tounes","Liste partisane",2,"10.71%",292,"Qitar Altnmya","Liste indépendante",2,"23.14%",252,"Harakat Aladl W Altanwir","Liste indépendante",2,"11.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","جبل الوسط",12,1272,"Wardat Jabal Alwasat","Liste indépendante",6,"4.10%",591,"Al'Amal","Liste indépendante",3,"22.84%",235,"Alsafa","Liste indépendante",1,"9.08%",143,"Thaqafat Alaimtyaz","Liste indépendante",1,"5.53%",133,"Ennahdha","Liste partisane",1,"49.17%",107,"Nidaa Tounes","Liste partisane",0,"5.14%",106,"Union Civile","Liste de coalition",0,"4.14%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","صواف",18,1475,"Soutukum Amana","Liste indépendante",10,"6.25%",678,"Nidaa Tounes","Liste partisane",4,"52.98%",457,"Ennahdha","Liste partisane",3,"16.42%",174,"Sawaf Tataqadam","Liste indépendante",1,"24.35%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","الفحص",24,1078,"Nidaa Tounes","Liste partisane",5,"5.66%",1066,"Al'Iirada","Liste indépendante",4,"8.62%",904,"Ennahdha","Liste partisane",4,"14.49%",870,"Al'Amal","Liste indépendante",4,"17.75%",518,"Ahali Alfahs","Liste indépendante",2,"2.43%",514,"Qayimat Al'Iislah","Liste indépendante",2,"3.58%",340,"Front Populaire","Liste de coalition",1,"8.56%",301,"Tounes Awalan","Liste partisane",1,"15.05%",215,"Biladina Amana","Liste indépendante",1,"17.95%",146,"Almustaqbal","Liste indépendante",0,"5.01%",54,"Union Populaire Républicaine","Liste partisane",0,"0.90%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","الناظور",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","العمايم",18,914,"Dawlat Almuatina","Liste indépendante",7,"5.18%",757,"Qayimat Alkhyr","Liste indépendante",5,"37.02%",409,"Ennahdha","Liste partisane",3,"30.66%",261,"Nidaa Tounes","Liste partisane",2,"16.57%",128,"Alshabi Aljamhouri Almutahad","Liste indépendante",1,"10.57%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","‫رمادة‬",18,580,"Ennahdha","Liste partisane",8,"14.91%",401,"Nidaa Tounes","Liste partisane",6,"46.25%",187,"Al Hurrya","Liste indépendante",3,"6.86%",86,"Machrouu Tounes","Liste partisane",1,"31.98%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","الذهيبة",12,263,"Ennahdha","Liste partisane",4,"19.97%",196,"Machrouu Tounes","Liste partisane",3,"34.79%",151,"Alliance Des Forces Démocratiques","Liste de coalition",3,"25.93%",146,"Nidaa Tounes","Liste partisane",2,"19.31%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","تطاوين",30,4099,"Ennahdha","Liste partisane",14,"4.77%",1645,"Tataouine Tajmaouna","Liste indépendante",6,"8.04%",825,"AL IRADA","Liste partisane",3,"5.87%",707,"Shamaat Alwatan","Liste indépendante",2,"18.70%",516,"Tataouine Almustaqbal","Liste indépendante",2,"9.38%",474,"Nidaa Tounes","Liste partisane",2,"1.26%",420,"Alshabab Almustaqilu Tatawyn","Liste indépendante",1,"46.60%",111,"El Binaa Al Watani / Fok blastek","Liste partisane",0,"5.39%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","‫‫شنني الدویرات",12,402,"Ennahdha","Liste partisane",4,"15.17%",204,"Nidaa Tounes","Liste partisane",2,"12.95%",192,"Al Mubadara W Altnmya","Liste indépendante",2,"12.72%",164,"Al Zytouna","Liste indépendante",2,"11.30%",161,"Alshabab Liltajidid","Liste indépendante",1,"31.75%",143,"AL IRADA","Liste partisane",1,"16.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","بئر الأحمر",12,596,"Almustaqila Lil Amal Albaladii Bil Biir Al'Ahmar","Liste indépendante",5,"19.63%",438,"Ennahdha","Liste partisane",4,"10.36%",290,"Al Adala Al Tanmaweya","Liste indépendante",2,"40.35%",153,"Albiir Al'Ahmar Awlan","Liste indépendante",1,"29.65%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","‫غمراسن‬",18,1266,"Ennahdha","Liste partisane",10,"9.56%",338,"Ghomrassin Fi Alqalb","Liste indépendante",3,"15.60%",213,"Nidaa Tounes","Liste partisane",2,"6.56%",207,"Al Muwatana","Liste indépendante",2,"58.45%",142,"El Binaa Al Watani","Liste partisane",1,"9.83%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","‫الصمار‬",18,1284,"Ennahdha","Liste partisane",10,"9.32%",468,"Nidaa Tounes","Liste partisane",3,"4.64%",270,"AL IRADA","Liste partisane",2,"11.49%",219,"Al'Iimtyaz","Liste indépendante",2,"54.64%",109,"Al'Iirada W Al Aamal","Liste indépendante",1,"19.91%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","‫نفطة‬",18,1238,"Ennahdha","Liste partisane",4,"8.75%",872,"Qayimat Shabab Nafta","Liste indépendante",3,"14.50%",754,"Alkoufa Al Sughraa","Liste indépendante",3,"16.77%",624,"AL IRADA","Liste partisane",2,"10.81%",576,"Nidaa Tounes","Liste partisane",2,"2.27%",562,"Shabab Darjin","Liste indépendante",2,"12.00%",455,"Al Muwatana W Al Tanmya","Liste indépendante",2,"23.81%",118,"Afek Tounes","Liste partisane",0,"11.08%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","‫حزوة‬",12,724,"Almustaqbal","Liste indépendante",5,"36.40%",548,"Ennahdha","Liste partisane",3,"8.45%",382,"Nidaa Tounes","Liste partisane",2,"8.40%",168,"Alwifaq","Liste indépendante",1,"27.55%",167,"Shabab Huzwat Al'Ahrar","Liste indépendante",1,"19.21%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","‫تمغزة‬",12,1202,"Ennahdha","Liste partisane",6,"12.91%",593,"Shams Aljanoub","Liste indépendante",3,"26.49%",289,"Alwaha","Liste indépendante",2,"53.68%",155,"Nidaa Tounes","Liste partisane",1,"6.92%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","‫توزر‬",24,2242,"Al'Amal W Aleamal","Liste indépendante",7,"2.14%",1967,"Ennahdha","Liste partisane",6,"4.70%",1068,"Nidaa Tounes","Liste partisane",3,"8.97%",1025,"Alsumud","Liste indépendante",3,"26.52%",758,"Al Hadhir W Almustaqbal","Liste indépendante",2,"12.13%",412,"Shabab Aljarid","Liste indépendante",1,"4.87%",397,"Al Amal","Liste indépendante",1,"3.00%",254,"AL IRADA","Liste partisane",1,"1.76%",181,"Front Populaire","Liste de coalition",0,"23.27%",149,"El Binaa Al Watani","Liste partisane",0,"12.63%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","حامة الجريد",12,554,"Al Aamal","Liste indépendante",4,"35.09%",490,"Ennahdha","Liste partisane",4,"31.03%",328,"Machrouu Tounes","Liste partisane",2,"20.77%",207,"Nidaa Tounes","Liste partisane",2,"13.11%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","‫دقاش‬",18,1924,"Al'Amal W Al Toumouh","Liste indépendante",8,"46.29%",839,"Ennahdha","Liste partisane",4,"20.19%",724,"Mouvement Du Peuple","Liste partisane",3,"4.91%",465,"Nidaa Tounes","Liste partisane",2,"17.42%",204,"Machrouu Tounes","Liste partisane",1,"11.19%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","‫تلابت‬",18,1048,"Al'Iislah W Altanmya","Liste indépendante",7,"26.13%",723,"Aamal Adala Thaqafa","Liste indépendante",5,"37.87%",502,"Tlabet Almustaqbal","Liste indépendante",3,"3.04%",305,"Ennahdha","Liste partisane",2,"18.14%",105,"Nidaa Tounes","Liste partisane",1,"11.02%",84,"Almizan","Liste indépendante",0,"3.79%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","فريانة",24,2548,"Firiana Liljamye","Liste indépendante",12,"5.81%",1420,"Ennahdha","Liste partisane",6,"47.14%",651,"Nidaa Tounes","Liste partisane",3,"8.73%",472,"AL IRADA","Liste partisane",2,"26.27%",314,"Firiana Awalan","Liste indépendante",2,"12.04%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ماجل بالعباس",18,1557,"Nidaa Tounes","Liste partisane",6,"4.76%",1041,"Ennahdha","Liste partisane",4,"6.68%",921,"Alsanabul","Liste indépendante",3,"19.05%",449,"Parti Destourien Libre Pdl","Liste partisane",2,"6.49%",323,"Al Intilaqa","Liste indépendante",1,"21.53%",314,"Althabat Alaa Almabdaa","Liste indépendante",1,"32.20%",230,"Front Populaire","Liste de coalition",1,"9.29%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","حاسي الفريد",18,1548,"Ennahdha","Liste partisane",6,"7.07%",1067,"Altahadii","Liste indépendante",5,"11.54%",1033,"Nidaa Tounes","Liste partisane",4,"23.81%",517,"Alshabab","Liste indépendante",2,"34.54%",317,"Almustaqbal","Liste indépendante",1,"23.05%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","‫حيدرة‬",12,808,"Nidaa Tounes","Liste partisane",4,"15.85%",628,"Hydra Tatabadal","Liste indépendante",3,"27.50%",486,"Ennahdha","Liste partisane",3,"21.28%",362,"Front Populaire","Liste de coalition",2,"35.38%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","‫تالة‬",24,1322,"Tala Aljadida","Liste indépendante",7,"30.84%",1175,"Ennahdha","Liste partisane",7,"14.42%",1172,"Nidaa Tounes","Liste partisane",7,"27.41%",618,"Afek Tounes","Liste partisane",3,"27.34%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","‫العيون‬",18,1185,"Sawt Alhaq","Liste indépendante",5,"11.17%",810,"Nidaa Tounes","Liste partisane",3,"6.36%",608,"Almustaqbal","Liste indépendante",3,"14.01%",584,"Altawafuq","Liste indépendante",2,"13.45%",485,"Front Populaire","Liste de coalition",2,"27.30%",276,"Al'Ufuq","Liste indépendante",1,"5.18%",225,"Courant Démocrate","Liste partisane",1,"3.87%",168,"Ennahdha","Liste partisane",1,"18.66%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
